,MT9216,MT9612,MT9603,MT9026,MT9638,MT9653,MT5510,T963,T963S,T982,T920,T950X4,T950Z4D,T972,T962,T950D5,T966D5,NVT
查tag,"Mboot下：
printenv","Mboot下：
printenv","Mboot下：
printenv",,"Mboot下：
printenv",,,"mboot下看屏参
printenv",,,"pr tag
Kernal下进odm/model目录，然后打开对应的文件；如果识别到的屏参文件是none_0c_0c，则
将类似于如下的文件，dz2k_0b_54改成dz2k_0c_54，然后reboot进BootLoader下，设置fixtag，setenv fixtag 54，saveenv，reboot即可；",,,,,,,
切Region ID,"部分板卡升级后，必须要烧入软件区域定义，小米方案切换地区方法如下：
首先需要升级，升级完成后（不要进区域选择界面）输入如下命令（不需要在mboot下）
su
mount -o rw,remount /
setenforce 0
setprop mitv.factory.region in
sync
reboot
（in代表印度，sa代表南美，la代表拉美）",,"查Region
getprop  |  grep  region

写Region
setprop mitv.factory.region tw
reboot

debug版本，串口下应该是可以用这个指令的吧：
su
setprop mitv.factory.region la
sync
reboot",,,,,,,,,,,,,"切region:

烧录debug版本，执行如下命令

su

cd /sys/class/unifykeys/
echo ""region"" > name
echo ""xx"" > write

(注意：xx对应的国家代码，印度是in，欧洲eu，台湾tw)

reboot",,
刷 APK ,,,,,,"方法一：uboot 模式下输入：
cu（适用于ladybird）
方法二：uboot模式下输入：
gpio set 187 1;
gpio set 188 1;
mtkupgrade usb upgrade 包名称.pkg
",,,,,,,,,,,,
如何查PID,"Mboot下：
printenv","Mboot下：
printenv","Mboot下：
printenv",,"Mboot下：
printenv",,"su
cat vendor/project_id/project_id.ini","mboot下看屏参
printenv","Uboot下：
printenv",,,,,,,,,
温控策略,,,,,,,,,,,"查温度：cat sys/class/thermal/thermal_zone0/temp
查温控：cat /sys/class/thermal/thermal_zone0/mode
关温控：echo disabled > /sys/class/thermal/thermal_zone0/mode
开温控：echo enabled > /sys/class/thermal/thermal_zone0/mode
定时查温度：while true; do cat sys/class/thermal/thermal_zone0/temp;input keyevent 1 ;cat sys/class/thermal/thermal_zone0/temp;sleep 1 ;done",,,,,,,
核温指令,"读取核温：
cat /proc/mstar_dvfs/temperature ","ac no_console_suspend 1
ac sysrq_always_enabled 1
ac utopia2k_str_debug 1
ac initcall_debug 1
ac loglevel 7
ac printk.time 1
setenv WDT_ENABLE 0
save
reset
然后看关键字：Current Temperature","MT9603重载温升测试
1、输入 setenforce 0
2、输入 getenforce 看返回值是否为 Permissive
3、输入 /data/user/0/com.xiaomi.saber/files/eatcpu -percent 0.85 &
4、输入 ps -ef|grep eatcpu 查看是否已经拉载起来（如进程15487所示）",,,,"xu 7411;cli;cd ptp;t
#5510方案公版平台#","1.echo disabled > /sys/class/thermal/thermal_zone0/mode     ---关温控
2.cat /sys/class/thermal/thermal_zone0/mode     ---查温控
3.cat /sys/devices/system/cpu/cpu0/cpufreq/cpuinfo_cur_freq   ---查频率
4.cat /sys/class/thermal/thermal_zone0/temp;      ---查核温
while true;do cat /sys/class/thermal/thermal_zone0/temp;sleep 1;done  --持续打印温度 Ctrl+C退出

5.重载指令
echo disabled > /sys/class/thermal/thermal_zone0/mode
echo performance > /sys/devices/system/cpu/cpu0/cpufreq/scaling_governor

echo 1 > /sys/devices/system/cpu/cpu1/online
echo 1 > /sys/devices/system/cpu/cpu2/online
echo 1 > /sys/devices/system/cpu/cpu3/online
",同963,,,,,,,,,cat /sys/devices/platform/soc/thermal/temperature
核温周期连读读指令,,,,,,,"while?true;
do?cat?proc/mstar_dvfs/temperature;
sleep?1;
done",,"cat /sys/class/thermal/thermal_zone0/temp---单次读取所有CPU0核温
while true;do cat /sys/class/thermal/thermal_zone0/temp;sleep 2;done---间隔2s自动读取CPU0核温",,"keyman write console_enable str 1
针对920和962s8x项目关串口指令（uboot下输入）
setenv console_enable 0
saveenv
reset",,,,,,,"while true;
do?cat /sys/devices/platform/soc/thermal/temperature;
sleep?1;
done
#1是1s一打印#"
查VBO展频,,,,,,,"echo dump,0x1031 > /proc/utopia_mdb/riuinfo",,,,cat /sys/class/aml_lcd/lcd0/ss?,,,,,,,"屏的展频  ，先读后写：
cat /sys/class/aml_lcd/lcd0/ss;
echo level xx >/sys/class/aml_lcd/lcd0/ss; xx取值0~60"
开展频指令,,,,,,,,echo 0xf > /sys/class/lcd/ss,"cat?/sys/class/lcd/ssecho?freq?x?>/sys/class/lcd/ss
---改屏信号展频?echo?level?5?>/sys/class/lcd/ss;（范围1~30；2000ppm/step，需要看屏规格书最大支持多少?）查展频?cat?/sys/class/lcd/ss以这个串口指令为准","su
echo 8 >/proc/sys/kernel/printk 
T982单独调节p2p每一lane的眼图参数，也适用于VB1眼图
0xc8:高16bit lane1,低16bit lane0
0xc9:高16bit lane3,低16bit lane2
0xca:高16bit lane5,低16bit lane4
0xcb:高16bit lane7,低16bit lane6
0xcd:高16bit lane9,低16bit lane8
0xce:高16bit lane11,低16bit lane10
每个lane的16bit数值内部：
bit[15:12]=preem,取值范围0x0~0xf
bit[9:8]=voltage,取值范围0x0~0x3
优先调节preem,预期可以cover掉各lane负载不均衡的问题，
如果仍然调不好，再考虑调voltage.
T982命令
echo ra c8 >/sys/class/aml_lcd/lcd0/reg   读当前C8寄存器指令
echo wa c8 0x2602f602 >/sys/class/aml_lcd/lcd0/reg  写C8当前指令",,,"echo 0xf 0x1 >/sys/class/lcd/phy //wirte swing and emphsis.
cat >/sys/class/lcd/phy //read current settings.

注释：
0xf--->swing,range:0x0~0xf
0x1--->emphsis,range:0~6

echo 0xf 0x1 

0xf   :幅度
0x1：预加重",,,,,"屏的展频  ，先读后写：
cat /sys/class/aml_lcd/lcd0/ss;
echo level xx >/sys/class/aml_lcd/lcd0/ss; xx取值0~60"
改预加重和幅度,,,,,,,,,"整体调：
cat?/sys/class/lcd/phy---读
echo?5?2?>/sys/class/lcd/phy---写
5是幅度swing，2是预加重pre_emphasize。例如：swing?改为5，pre_emphasize??改为2??（幅度是0～f，预加重是0～6或5）",,"echo 1 1 0 0 >/sys/class/lcd/lvds
echo 3 1 >/sys/class/lcd/phy
#3是幅度，1是预加重#",,,,,"调相位指令
如果要查询，指令是  cat /sys/class/aml_lcd/lcd0/mlvds
echo phase 0x0660 >/sys/class/aml_lcd/lcd0/mlvds",,
